,ID,Negative,Positive,TotalOccurences
0,118786,0.07054176072234764,0.9294582392776524,1772
1,118794,0.0,1.0,43
2,126295,0.0,1.0,6
3,118803,0.1111111111111111,0.8888888888888888,18
4,118807,0.0,1.0,25
5,118813,0.10975609756097561,0.8902439024390244,82
6,118828,0.005813953488372093,0.9941860465116279,172
7,159789,0.0,1.0,18
8,122929,0.0,1.0,8
9,118836,0.011940298507462687,0.9880597014925373,335
10,132105,0.0,1.0,4
11,127032,1.0,0.0,2
12,118843,0.10843373493975904,0.891566265060241,83
13,120904,0.1111111111111111,0.8888888888888888,9
14,122954,0.25,0.75,16
15,118865,0.008264462809917356,0.9917355371900827,121
16,119139,0.1038961038961039,0.8961038961038961,77
17,125012,0.0,1.0,7
18,122969,0.0,1.0,33
19,157801,0.0,1.0,1
20,118892,0.040345821325648415,0.9596541786743515,347
21,122991,0.14285714285714285,0.8571428571428571,7
22,118899,0.0,1.0,49
23,120954,0.007407407407407408,0.9925925925925926,135
24,118914,0.006289308176100629,0.9937106918238994,159
25,127110,0.058823529411764705,0.9411764705882353,17
26,118926,0.029411764705882353,0.9705882352941176,34
27,137371,0.0,1.0,1
28,120989,0.0,1.0,33
29,118943,0.0782608695652174,0.9217391304347826,115
30,120992,0.0273972602739726,0.9726027397260274,73
31,123047,0.009345794392523364,0.9906542056074766,107
32,118961,0.01098901098901099,0.989010989010989,91
33,131254,0.0,1.0,2
34,121017,0.0,1.0,12
35,133308,0.1111111111111111,0.8888888888888888,45
36,123075,0.0,1.0,2
37,118982,0.07482993197278912,0.9251700680272109,147
38,123084,0.0,1.0,28
39,129231,0.03125,0.96875,32
40,118997,0.23115577889447236,0.7688442211055276,199
41,119007,0.08333333333333333,0.9166666666666666,12
42,121070,0.07407407407407407,0.9259259259259259,27
43,125173,0.0,1.0,14
44,123133,0.0,1.0,1
45,131338,0.0,1.0,2
46,119067,0.038461538461538464,0.9615384615384616,26
47,121124,0.0,1.0,34
48,119079,0.0,1.0,8
49,119082,0.08629441624365482,0.9137055837563451,394
50,123180,0.0,1.0,7
51,119096,0.013392857142857142,0.9866071428571429,224
52,121145,0.0,1.0,24
53,268610,0.0,1.0,1
54,270691,0.0,1.0,1
55,192869,0.2,0.8,5
56,153959,0.2,0.8,10
57,258436,0.0,1.0,7
58,119174,0.0,1.0,43
59,119194,0.03571428571428571,0.9642857142857143,196
60,149918,0.0,1.0,1
61,127391,0.0,1.0,21
62,121248,0.0,1.0,5
63,119222,0.125,0.875,8
64,122271,0.0,1.0,31
65,254396,0.0,1.0,3
66,125408,0.0,1.0,1
67,240105,0.0,1.0,1
68,128765,0.05263157894736842,0.9473684210526315,19
69,123402,0.25,0.75,4
70,122292,0.0,1.0,21
71,133648,0.0,1.0,2
72,123410,0.0,1.0,9
73,121366,0.0,1.0,2
74,118532,0.16363636363636364,0.8363636363636363,55
75,129563,0.125,0.875,8
76,119325,0.13333333333333333,0.8666666666666667,75
77,121374,0.0,1.0,43
78,120315,0.12698412698412698,0.873015873015873,63
79,121395,0.0,1.0,1
80,119348,0.3333333333333333,0.6666666666666666,30
81,119353,0.04411764705882353,0.9558823529411765,68
82,150076,0.0,1.0,3
83,135742,0.0,1.0,8
84,119365,0.0,1.0,19
85,121416,0.0,1.0,36
86,158291,0.0,1.0,5
87,133719,0.0,1.0,11
88,127590,0.0,1.0,4
89,266863,0.0,1.0,1
90,119411,0.0,1.0,13
91,121471,0.023809523809523808,0.9761904761904762,42
92,135811,0.0,1.0,25
93,119435,0.010050251256281407,0.9899497487437185,199
94,127659,0.0,1.0,2
95,121529,0.0,1.0,37
96,139967,0.0,1.0,3
97,180928,0.0,1.0,4
98,166594,0.0,1.0,6
99,152270,0.0,1.0,1
100,119503,0.46153846153846156,0.5384615384615384,13
101,131797,0.0,1.0,14
102,127702,0.058823529411764705,0.9411764705882353,17
103,123612,0.0,1.0,4
104,120613,0.041666666666666664,0.9583333333333334,24
105,123617,0.05555555555555555,0.9444444444444444,18
106,119531,0.0,1.0,5
107,127725,0.0,1.0,16
108,137970,0.14285714285714285,0.8571428571428571,7
109,152310,0.0,1.0,2
110,125689,0.0,1.0,26
111,121596,0.16326530612244897,0.8367346938775511,147
112,130858,0.023809523809523808,0.9761904761904762,42
113,126080,0.0,1.0,10
114,123650,0.02631578947368421,0.9736842105263158,38
115,123652,0.0,1.0,17
116,123657,0.0,1.0,1
117,131851,0.375,0.625,8
118,121621,0.14285714285714285,0.8571428571428571,7
119,123672,0.017241379310344827,0.9827586206896551,58
120,187169,0.0,1.0,3
121,138021,0.0,1.0,25
122,123686,0.0,1.0,12
123,127783,0.0,1.0,40
124,125753,0.0,1.0,18
125,146251,0.0,1.0,5
126,123738,0.011764705882352941,0.9882352941176471,85
127,125795,0.0,1.0,60
128,125800,0.3333333333333333,0.6666666666666666,3
129,127851,0.0,1.0,11
130,129911,0.034482758620689655,0.9655172413793104,29
131,136061,0.0,1.0,4
132,166801,0.0,1.0,1
133,138139,0.0,1.0,6
134,123192,0.13333333333333333,0.8666666666666667,15
135,132000,0.0,1.0,7
136,136117,0.0,1.0,3
137,119745,0.027777777777777776,0.9722222222222222,36
138,123851,0.0,1.0,3
139,209875,0.0,1.0,1
140,127958,0.0,1.0,3
141,119779,0.3125,0.6875,16
142,134120,0.0,1.0,14
143,119785,0.0,1.0,17
144,119789,0.0,1.0,5
145,132098,0.0,1.0,13
146,119817,0.0,1.0,1
147,130062,0.0,1.0,5
148,119851,0.0771513353115727,0.9228486646884273,337
149,162862,0.0,1.0,5
150,121917,0.0,1.0,14
