,ID,Negative,Positive
0,253952,0.0,0.0
1,8195,0.125,0.875
2,20481,0.0,1.0
3,8203,0.0,1.0
4,8204,0.0,1.0
5,20482,0.0,0.0
6,8207,0.0,1.0
7,25,0.21428571428571427,0.7857142857142857
8,27,0.0,1.0
9,8221,0.0,0.0
10,30,0.0,1.0
11,32,0.0,1.0
12,33,0.03333333333333333,0.9666666666666667
13,278563,0.6666666666666666,0.3333333333333333
14,36,0.1,0.9
15,8229,0.0,1.0
16,7639,0.0,0.0
17,64177,0.0,0.0
18,294953,0.0,1.0
19,8234,0.0,1.0
20,43,0.0,1.0
21,46,0.0,1.0
22,47,0.14285714285714285,0.8571428571428571
23,81968,0.0,0.0
24,8242,0.1111111111111111,0.8888888888888888
25,8243,0.0,1.0
26,278581,0.0,0.0
27,55,0.0,1.0
28,88656,0.0,0.0
29,101044,0.0,1.0
30,58719,0.0,1.0
31,63,0.0,1.0
32,81989,0.0,1.0
33,70,0.0,0.0
34,49230,0.0,1.0
35,8272,0.0,1.0
36,20421,0.0,0.0
37,86,0.0,1.0
38,87,0.0,1.0
39,8280,0.0,1.0
40,139354,0.0,1.0
41,8283,0.125,0.875
42,50195,0.0,0.0
43,73825,0.75,0.25
44,99,0.0,1.0
45,100,0.0,1.0
46,8293,0.0,1.0
47,98406,0.0,1.0
48,53265,0.0,1.0
49,73833,0.0,1.0
50,21863,0.0,1.0
51,73840,0.0,0.0
52,73841,0.25,0.75
53,32884,0.0,0.0
54,23230,0.0,1.0
55,73846,0.0,0.0
56,23531,0.0,0.0
57,123,0.0,0.0
58,82044,0.0,1.0
59,50538,0.0,1.0
60,24704,0.0,0.0
61,49283,0.07692307692307693,0.9230769230769231
62,24708,0.0,1.0
63,106629,0.0,1.0
64,106630,0.0,1.0
65,5620,0.0,0.0
66,311433,0.0,1.0
67,123020,0.0,1.0
68,141,0.0,1.0
69,311438,0.0,0.0
70,16527,0.05,0.95
71,8338,0.0,0.0
72,17190,0.0,1.0
73,49302,0.0,1.0
74,8343,0.0,1.0
75,24728,0.0,0.0
76,154,0.0,1.0
77,103791,0.0,1.0
78,156,0.0,1.0
79,16541,0.0,1.0
80,32795,0.4,0.6
81,56006,0.0,1.0
82,168,0.0,1.0
83,169,0.0,1.0
84,49323,0.0,1.0
85,57516,0.0,1.0
86,16557,0.0,1.0
87,174,0.0,1.0
88,65711,0.5,0.5
89,8368,0.1111111111111111,0.8888888888888888
90,16561,0.0,1.0
91,8370,0.0,1.0
92,16565,0.0,0.0
93,16566,0.0,1.0
94,8375,0.0,1.0
95,16569,0.0,1.0
96,57531,0.0,0.0
97,16572,0.0,1.0
98,189,0.0,1.0
99,190,0.0,1.0
100,310371,0.0,0.0
101,193,0.0,1.0
102,57538,0.2,0.8
103,57539,0.0,1.0
104,196,0.0,1.0
105,197,0.0,1.0
106,65734,0.0,0.0
107,17841,0.0,1.0
108,16584,0.0,0.0
109,49353,0.0,1.0
110,16588,0.75,0.25
111,205,0.041666666666666664,0.9583333333333334
112,8399,0.0,1.0
113,131280,0.0,0.0
114,209,0.0,1.0
115,210,0.09090909090909091,0.9090909090909091
116,214,0.0,1.0
117,16599,0.0,1.0
118,217,0.0,1.0
119,218,0.0,1.0
120,221,0.0,1.0
121,49374,0.5,0.5
122,8415,0.16666666666666666,0.8333333333333334
123,57569,0.0,0.0
124,46459,0.0,1.0
125,49381,0.0,1.0
126,231,1.0,0.0
127,49384,0.0,1.0
128,50556,0.0,1.0
129,8426,0.0,0.0
130,49388,0.0,1.0
131,16621,0.0,1.0
132,8430,0.0,1.0
133,239,0.0,1.0
134,240,0.375,0.625
135,8433,0.0,1.0
136,8435,0.0,1.0
137,73974,0.0,0.0
138,249,0.0,1.0
139,49403,0.0,0.0
140,57596,0.0,1.0
141,311338,0.0,0.0
142,57599,0.0,1.0
143,16641,0.2222222222222222,0.7777777777777778
144,16642,0.14285714285714285,0.8571428571428571
145,16643,0.14285714285714285,0.8571428571428571
146,8453,0.0,1.0
147,98566,0.0,1.0
148,57607,0.0,1.0
149,23255,0.0,1.0
150,8461,0.0,1.0
151,82190,0.0,1.0
152,49423,0.06666666666666667,0.9333333333333333
153,49425,0.0,1.0
154,123154,0.0,1.0
155,50563,0.0,1.0
156,8238,0.0,1.0
157,49110,0.0,1.0
158,57625,0.0,0.0
159,41243,0.0,0.0
160,16668,0.0,1.0
